"id","profile_id","condition","mitigation","question_id","category","prompt_file","response_file","status","notes"
"001","P01","no_memory","none","Q1","likely_residential_area","results\formal_prompts\001_P01_no_memory_none_Q1.txt","results\formal_responses\001_P01_no_memory_none_Q1_response.txt","complete",""
"002","P01","no_memory","none","Q2","away_from_home","results\formal_prompts\002_P01_no_memory_none_Q2.txt","results\formal_responses\002_P01_no_memory_none_Q2_response.txt","complete",""
"003","P01","no_memory","none","Q3","university_or_occupation","results\formal_prompts\003_P01_no_memory_none_Q3.txt","results\formal_responses\003_P01_no_memory_none_Q3_response.txt","complete",""
"004","P01","no_memory","none","Q4","financial_situation","results\formal_prompts\004_P01_no_memory_none_Q4.txt","results\formal_responses\004_P01_no_memory_none_Q4_response.txt","complete",""
"005","P01","no_memory","none","Q5","activity_links","results\formal_prompts\005_P01_no_memory_none_Q5.txt","results\formal_responses\005_P01_no_memory_none_Q5_response.txt","complete",""
"006","P01","limited_memory","none","Q1","likely_residential_area","results\formal_prompts\006_P01_limited_memory_none_Q1.txt","results\formal_responses\006_P01_limited_memory_none_Q1_response.txt","complete",""
"007","P01","limited_memory","none","Q2","away_from_home","results\formal_prompts\007_P01_limited_memory_none_Q2.txt","results\formal_responses\007_P01_limited_memory_none_Q2_response.txt","complete",""
"008","P01","limited_memory","none","Q3","university_or_occupation","results\formal_prompts\008_P01_limited_memory_none_Q3.txt","results\formal_responses\008_P01_limited_memory_none_Q3_response.txt","complete",""
"009","P01","limited_memory","none","Q4","financial_situation","results\formal_prompts\009_P01_limited_memory_none_Q4.txt","results\formal_responses\009_P01_limited_memory_none_Q4_response.txt","complete",""
"010","P01","limited_memory","none","Q5","activity_links","results\formal_prompts\010_P01_limited_memory_none_Q5.txt","results\formal_responses\010_P01_limited_memory_none_Q5_response.txt","complete",""
"011","P01","full_aggregated_memory","none","Q1","likely_residential_area","results\formal_prompts\011_P01_full_aggregated_memory_none_Q1.txt","results\formal_responses\011_P01_full_aggregated_memory_none_Q1_response.txt","complete",""
"012","P01","full_aggregated_memory","none","Q2","away_from_home","results\formal_prompts\012_P01_full_aggregated_memory_none_Q2.txt","results\formal_responses\012_P01_full_aggregated_memory_none_Q2_response.txt","complete",""
"013","P01","full_aggregated_memory","none","Q3","university_or_occupation","results\formal_prompts\013_P01_full_aggregated_memory_none_Q3.txt","results\formal_responses\013_P01_full_aggregated_memory_none_Q3_response.txt","complete",""
"014","P01","full_aggregated_memory","none","Q4","financial_situation","results\formal_prompts\014_P01_full_aggregated_memory_none_Q4.txt","results\formal_responses\014_P01_full_aggregated_memory_none_Q4_response.txt","complete",""
"015","P01","full_aggregated_memory","none","Q5","activity_links","results\formal_prompts\015_P01_full_aggregated_memory_none_Q5.txt","results\formal_responses\015_P01_full_aggregated_memory_none_Q5_response.txt","complete",""
"016","P01","compartmentalised_memory","none","Q1","likely_residential_area","results\formal_prompts\016_P01_compartmentalised_memory_none_Q1.txt","results\formal_responses\016_P01_compartmentalised_memory_none_Q1_response.txt","complete",""
"017","P01","compartmentalised_memory","none","Q2","away_from_home","results\formal_prompts\017_P01_compartmentalised_memory_none_Q2.txt","results\formal_responses\017_P01_compartmentalised_memory_none_Q2_response.txt","complete",""
"018","P01","compartmentalised_memory","none","Q3","university_or_occupation","results\formal_prompts\018_P01_compartmentalised_memory_none_Q3.txt","results\formal_responses\018_P01_compartmentalised_memory_none_Q3_response.txt","complete",""
"019","P01","compartmentalised_memory","none","Q4","financial_situation","results\formal_prompts\019_P01_compartmentalised_memory_none_Q4.txt","results\formal_responses\019_P01_compartmentalised_memory_none_Q4_response.txt","complete",""
"020","P01","compartmentalised_memory","none","Q5","activity_links","results\formal_prompts\020_P01_compartmentalised_memory_none_Q5.txt","results\formal_responses\020_P01_compartmentalised_memory_none_Q5_response.txt","complete",""
"021","P01","full_aggregated_memory","remove_exact_time_place","Q1","likely_residential_area","results\formal_prompts\021_P01_full_aggregated_memory_remove_exact_time_place_Q1.txt","results\formal_responses\021_P01_full_aggregated_memory_remove_exact_time_place_Q1_response.txt","complete",""
"022","P01","full_aggregated_memory","remove_exact_time_place","Q2","away_from_home","results\formal_prompts\022_P01_full_aggregated_memory_remove_exact_time_place_Q2.txt","results\formal_responses\022_P01_full_aggregated_memory_remove_exact_time_place_Q2_response.txt","complete",""
"023","P01","full_aggregated_memory","remove_exact_time_place","Q3","university_or_occupation","results\formal_prompts\023_P01_full_aggregated_memory_remove_exact_time_place_Q3.txt","results\formal_responses\023_P01_full_aggregated_memory_remove_exact_time_place_Q3_response.txt","complete",""
"024","P01","full_aggregated_memory","remove_exact_time_place","Q4","financial_situation","results\formal_prompts\024_P01_full_aggregated_memory_remove_exact_time_place_Q4.txt","results\formal_responses\024_P01_full_aggregated_memory_remove_exact_time_place_Q4_response.txt","complete",""
"025","P01","full_aggregated_memory","remove_exact_time_place","Q5","activity_links","results\formal_prompts\025_P01_full_aggregated_memory_remove_exact_time_place_Q5.txt","results\formal_responses\025_P01_full_aggregated_memory_remove_exact_time_place_Q5_response.txt","complete",""
